"종목별","항목","단위","2019 년","2020 년","2021 년","2022 년","2023 년",
"환경.에너지","필기접수[명]","명","534","479","576","596","662",
"환경.에너지","필기응시[명]","명","459","404","464","471","528",
"환경.에너지","필기합격[명]","명","86","61","68","61","68",
"환경.에너지","필기합격률[%]","%","18.74","15.1","14.66","12.95","12.88",
"환경.에너지","실기접수[명]","명","130","114","123","106","125",
"환경.에너지","실기응시[명]","명","129","114","123","106","125",
"환경.에너지","실기합격[명]","명","67","61","55","55","57",
"환경.에너지","실기합격률[%]","%","51.94","53.51","44.72","51.89","45.6",
"환경","필기접수[명]","명","478","429","520","532","609",
"환경","필기응시[명]","명","411","363","418","419","487",
"환경","필기합격[명]","명","77","44","60","52","65",
"환경","필기합격률[%]","%","18.73","12.12","14.35","12.41","13.35",
"환경","실기접수[명]","명","119","94","108","90","116",
"환경","실기응시[명]","명","118","94","108","90","116",
"환경","실기합격[명]","명","59","51","49","49","53",
"환경","실기합격률[%]","%","50","54.26","45.37","54.44","45.69",
"대기관리기술사","필기접수[명]","명","78","47","55","67","79",
"대기관리기술사","필기응시[명]","명","70","38","43","63","71",
"대기관리기술사","필기합격[명]","명","17","5","5","5","14",
"대기관리기술사","필기합격률[%]","%","24.29","13.16","11.63","7.94","19.72",
"대기관리기술사","실기접수[명]","명","25","18","15","9","16",
"대기관리기술사","실기응시[명]","명","24","18","15","9","16",
"대기관리기술사","실기합격[명]","명","6","8","3","6","3",
"대기관리기술사","실기합격률[%]","%","25","44.44","20","66.67","18.75",
"수질관리기술사","필기접수[명]","명","118","123","151","160","175",
"수질관리기술사","필기응시[명]","명","91","99","124","120","135",
"수질관리기술사","필기합격[명]","명","14","11","25","9","11",
"수질관리기술사","필기합격률[%]","%","15.38","11.11","20.16","7.5","8.15",
"수질관리기술사","실기접수[명]","명","30","27","44","24","22",
"수질관리기술사","실기응시[명]","명","30","27","44","24","22",
"수질관리기술사","실기합격[명]","명","14","14","21","12","10",
"수질관리기술사","실기합격률[%]","%","46.67","51.85","47.73","50","45.45",
"자연환경관리기술사","필기접수[명]","명","155","150","169","170","205",
"자연환경관리기술사","필기응시[명]","명","136","130","137","130","159",
"자연환경관리기술사","필기합격[명]","명","26","12","14","17","28",
"자연환경관리기술사","필기합격률[%]","%","19.12","9.23","10.22","13.08","17.61",
"자연환경관리기술사","실기접수[명]","명","30","22","24","25","54",
"자연환경관리기술사","실기응시[명]","명","30","22","24","25","54",
"자연환경관리기술사","실기합격[명]","명","21","12","14","13","25",
"자연환경관리기술사","실기합격률[%]","%","70","54.55","58.33","52","46.3",
"소음진동기술사","필기접수[명]","명","40","41","46","40","57",
"소음진동기술사","필기응시[명]","명","36","38","39","33","49",
"소음진동기술사","필기합격[명]","명","6","3","4","3","4",
"소음진동기술사","필기합격률[%]","%","16.67","7.89","10.26","9.09","8.16",
"소음진동기술사","실기접수[명]","명","10","8","6","5","6",
"소음진동기술사","실기응시[명]","명","10","8","6","5","6",
"소음진동기술사","실기합격[명]","명","5","5","3","2","3",
"소음진동기술사","실기합격률[%]","%","50","62.5","50","40","50",
"토양환경기술사","필기접수[명]","명","46","32","44","30","33",
"토양환경기술사","필기응시[명]","명","39","26","31","19","22",
"토양환경기술사","필기합격[명]","명","10","5","10","9","4",
"토양환경기술사","필기합격률[%]","%","25.64","19.23","32.26","47.37","18.18",
"토양환경기술사","실기접수[명]","명","19","8","13","16","9",
"토양환경기술사","실기응시[명]","명","19","8","13","16","9",
"토양환경기술사","실기합격[명]","명","11","5","6","10","8",
"토양환경기술사","실기합격률[%]","%","57.89","62.5","46.15","62.5","88.89",
"폐기물처리기술사","필기접수[명]","명","41","36","55","65","60",
"폐기물처리기술사","필기응시[명]","명","39","32","44","54","51",
"폐기물처리기술사","필기합격[명]","명","4","8","2","9","4",
"폐기물처리기술사","필기합격률[%]","%","10.26","25","4.55","16.67","7.84",
"폐기물처리기술사","실기접수[명]","명","5","11","6","11","9",
"폐기물처리기술사","실기응시[명]","명","5","11","6","11","9",
"폐기물처리기술사","실기합격[명]","명","2","7","2","6","4",
"폐기물처리기술사","실기합격률[%]","%","40","63.64","33.33","54.55","44.44",
"에너지.기상","필기접수[명]","명","56","50","56","64","53",
"에너지.기상","필기응시[명]","명","48","41","46","52","41",
"에너지.기상","필기합격[명]","명","9","17","8","9","3",
"에너지.기상","필기합격률[%]","%","18.75","41.46","17.39","17.31","7.32",
"에너지.기상","실기접수[명]","명","11","20","15","16","9",
"에너지.기상","실기응시[명]","명","11","20","15","16","9",
"에너지.기상","실기합격[명]","명","8","10","6","6","4",
"에너지.기상","실기합격률[%]","%","72.73","50","40","37.5","44.44",
"원자력발전기술사","필기접수[명]","명","16","12","6","13","10",
"원자력발전기술사","필기응시[명]","명","13","10","4","8","8",
"원자력발전기술사","필기합격[명]","명","2","2","1","0","1",
"원자력발전기술사","필기합격률[%]","%","15.38","20","25","0","12.5",
"원자력발전기술사","실기접수[명]","명","2","2","1","0","1",
"원자력발전기술사","실기응시[명]","명","2","2","1","0","1",
"원자력발전기술사","실기합격[명]","명","2","2","1","0","1",
"원자력발전기술사","실기합격률[%]","%","100","100","100","0","100",
"기상예보기술사","필기접수[명]","명","11","12","16","15","10",
"기상예보기술사","필기응시[명]","명","11","12","15","13","7",
"기상예보기술사","필기합격[명]","명","3","11","4","5","1",
"기상예보기술사","필기합격률[%]","%","27.27","91.67","26.67","38.46","14.29",
"기상예보기술사","실기접수[명]","명","5","12","9","10","4",
"기상예보기술사","실기응시[명]","명","5","12","9","10","4",
"기상예보기술사","실기합격[명]","명","4","6","3","4","1",
"기상예보기술사","실기합격률[%]","%","80","50","33.33","40","25",
"방사선관리기술사","필기접수[명]","명","29","26","34","36","33",
"방사선관리기술사","필기응시[명]","명","24","19","27","31","26",
"방사선관리기술사","필기합격[명]","명","4","4","3","4","1",
"방사선관리기술사","필기합격률[%]","%","16.67","21.05","11.11","12.9","3.85",
"방사선관리기술사","실기접수[명]","명","4","6","5","6","4",
"방사선관리기술사","실기응시[명]","명","4","6","5","6","4",
"방사선관리기술사","실기합격[명]","명","2","2","2","2","2",
"방사선관리기술사","실기합격률[%]","%","50","33.33","40","33.33","50",
"기능장","필기접수[명]","명","25237","20888","25670","24891","30213",
"기능장","필기응시[명]","명","21482","17494","22220","21082","25670",
"기능장","필기합격[명]","명","11331","9576","12614","11509","12976",
"기능장","필기합격률[%]","%","52.75","54.74","56.77","54.59","50.55",
"기능장","실기접수[명]","명","20832","19860","21138","20835","22965",
"기능장","실기응시[명]","명","19410","17454","19137","18935","21104",
"기능장","실기합격[명]","명","4365","5578","6193","5746","7646",
"기능장","실기합격률[%]","%","22.49","31.96","32.36","30.35","36.23",
"이용.숙박.여행.오락.스포츠","필기접수[명]","명","566","411","465","489","482",
"이용.숙박.여행.오락.스포츠","필기응시[명]","명","517","380","430","440","433",
"이용.숙박.여행.오락.스포츠","필기합격[명]","명","314","246","293","292","278",
"이용.숙박.여행.오락.스포츠","필기합격률[%]","%","60.74","64.74","68.14","66.36","64.2",
"이용.숙박.여행.오락.스포츠","실기접수[명]","명","674","649","668","676","651",
"이용.숙박.여행.오락.스포츠","실기응시[명]","명","599","565","588","608","589",
"이용.숙박.여행.오락.스포츠","실기합격[명]","명","106","76","85","74","67",
"이용.숙박.여행.오락.스포츠","실기합격률[%]","%","17.7","13.45","14.46","12.17","11.38",
"이용.미용","필기접수[명]","명","566","411","465","489","482",
"이용.미용","필기응시[명]","명","517","380","430","440","433",
"이용.미용","필기합격[명]","명","314","246","293","292","278",
"이용.미용","필기합격률[%]","%","60.74","64.74","68.14","66.36","64.2",
"이용.미용","실기접수[명]","명","674","649","668","676","651",
"이용.미용","실기응시[명]","명","599","565","588","608","589",
"이용.미용","실기합격[명]","명","106","76","85","74","67",
"이용.미용","실기합격률[%]","%","17.7","13.45","14.46","12.17","11.38",
"미용장","필기접수[명]","명","380","295","288","320","323",
"미용장","필기응시[명]","명","346","277","263","285","290",
"미용장","필기합격[명]","명","191","165","161","175","172",
"미용장","필기합격률[%]","%","55.2","59.57","61.22","61.4","59.31",
"미용장","실기접수[명]","명","429","430","429","408","402",
"미용장","실기응시[명]","명","391","386","387","375","372",
"미용장","실기합격[명]","명","64","38","55","45","52",
"미용장","실기합격률[%]","%","16.37","9.84","14.21","12","13.98",
"이용장","필기접수[명]","명","186","116","177","169","159",
"이용장","필기응시[명]","명","171","103","167","155","143",
"이용장","필기합격[명]","명","123","81","132","117","106",
"이용장","필기합격률[%]","%","71.93","78.64","79.04","75.48","74.13",
"이용장","실기접수[명]","명","245","219","239","268","249",
"이용장","실기응시[명]","명","208","179","201","233","217",
"이용장","실기합격[명]","명","42","38","30","29","15",
"이용장","실기합격률[%]","%","20.19","21.23","14.93","12.45","6.91",
"음식서비스","필기접수[명]","명","638","569","587","512","589",
"음식서비스","필기응시[명]","명","558","496","530","464","510",
"음식서비스","필기합격[명]","명","240","219","252","204","205",
"음식서비스","필기합격률[%]","%","43.01","44.15","47.55","43.97","40.2",
"음식서비스","실기접수[명]","명","533","530","520","502","471",
"음식서비스","실기응시[명]","명","485","481","478","461","442",
"음식서비스","실기합격[명]","명","43","53","56","53","50",
"음식서비스","실기합격률[%]","%","8.87","11.02","11.72","11.5","11.31",
"조리","필기접수[명]","명","638","569","587","512","589",
"조리","필기응시[명]","명","558","496","530","464","510",
"조리","필기합격[명]","명","240","219","252","204","205",
"조리","필기합격률[%]","%","43.01","44.15","47.55","43.97","40.2",
"조리","실기접수[명]","명","533","530","520","502","471",
"조리","실기응시[명]","명","485","481","478","461","442",
"조리","실기합격[명]","명","43","53","56","53","50",
"조리","실기합격률[%]","%","8.87","11.02","11.72","11.5","11.31",
"조리기능장","필기접수[명]","명","638","569","587","512","589",
"조리기능장","필기응시[명]","명","558","496","530","464","510",
"조리기능장","필기합격[명]","명","240","219","252","204","205",
"조리기능장","필기합격률[%]","%","43.01","44.15","47.55","43.97","40.2",
"조리기능장","실기접수[명]","명","533","530","520","502","471",
"조리기능장","실기응시[명]","명","485","481","478","461","442",
"조리기능장","실기합격[명]","명","43","53","56","53","50",
"조리기능장","실기합격률[%]","%","8.87","11.02","11.72","11.5","11.31",
"건설","필기접수[명]","명","1782","1308","1917","1817","1743",
"건설","필기응시[명]","명","1505","1087","1675","1535","1455",
"건설","필기합격[명]","명","901","668","1089","976","912",
"건설","필기합격률[%]","%","59.87","61.45","65.01","63.58","62.68",
"건설","실기접수[명]","명","1742","1460","1572","1763","1792",
"건설","실기응시[명]","명","1674","1395","1524","1708","1744",
"건설","실기합격[명]","명","435","560","586","476","548",
"건설","실기합격률[%]","%","25.99","40.14","38.45","27.87","31.42",
"건축","필기접수[명]","명","98","84","106","116","111",
"건축","필기응시[명]","명","81","73","94","102","93",
"건축","필기합격[명]","명","42","33","52","51","58",
"건축","필기합격률[%]","%","51.85","45.21","55.32","50","62.37",
"건축","실기접수[명]","명","71","54","71","70","66",
"건축","실기응시[명]","명","60","42","57","59","59",
"건축","실기합격[명]","명","4","6","7","7","8",
"건축","실기합격률[%]","%","6.67","14.29","12.28","11.86","13.56",
"건축목재시공기능장","필기접수[명]","명","31","38","40","41","40",
"건축목재시공기능장","필기응시[명]","명","25","32","35","35","35",
"건축목재시공기능장","필기합격[명]","명","15","24","28","22","28",
"건축목재시공기능장","필기합격률[%]","%","60","75","80","62.86","80",
"건축목재시공기능장","실기접수[명]","명","22","22","36","34","25",
"건축목재시공기능장","실기응시[명]","명","18","15","27","25","18",
"건축목재시공기능장","실기합격[명]","명","1","3","4","6","1",
"건축목재시공기능장","실기합격률[%]","%","5.56","20","14.81","24","5.56",
"건축일반시공기능장","필기접수[명]","명","67","46","66","75","71",
"건축일반시공기능장","필기응시[명]","명","56","41","59","67","58",
"건축일반시공기능장","필기합격[명]","명","27","9","24","29","30",
"건축일반시공기능장","필기합격률[%]","%","48.21","21.95","40.68","43.28","51.72",
"건축일반시공기능장","실기접수[명]","명","49","32","35","36","41",
"건축일반시공기능장","실기응시[명]","명","42","27","30","34","41",
"건축일반시공기능장","실기합격[명]","명","3","3","3","1","7",
"건축일반시공기능장","실기합격률[%]","%","7.14","11.11","10","2.94","17.07",
"건설배관","필기접수[명]","명","1600","1191","1770","1655","1584",
"건설배관","필기응시[명]","명","1350","983","1549","1395","1324",
"건설배관","필기합격[명]","명","839","628","1027","915","850",
"건설배관","필기합격률[%]","%","62.15","63.89","66.3","65.59","64.2",
"건설배관","실기접수[명]","명","1637","1406","1477","1676","1715",
"건설배관","실기응시[명]","명","1582","1353","1446","1634","1677",
"건설배관","실기합격[명]","명","423","554","578","466","536",
"건설배관","실기합격률[%]","%","26.74","40.95","39.97","28.52","31.96",
"배관기능장","필기접수[명]","명","1600","1191","1770","1655","1584",
"배관기능장","필기응시[명]","명","1350","983","1549","1395","1324",
"배관기능장","필기합격[명]","명","839","628","1027","915","850",
"배관기능장","필기합격률[%]","%","62.15","63.89","66.3","65.59","64.2",
"배관기능장","실기접수[명]","명","1637","1406","1477","1676","1715",
"배관기능장","실기응시[명]","명","1582","1353","1446","1634","1677",
"배관기능장","실기합격[명]","명","423","554","578","466","536",
"배관기능장","실기합격률[%]","%","26.74","40.95","39.97","28.52","31.96",
"기계","필기접수[명]","명","2274","1857","2112","2034","2320",
"기계","필기응시[명]","명","2026","1641","1898","1785","2073",
"기계","필기합격[명]","명","983","793","934","776","898",
"기계","필기합격률[%]","%","48.52","48.32","49.21","43.47","43.32",
"기계","실기접수[명]","명","1511","1680","1619","1537","1582",
"기계","실기응시[명]","명","1415","1475","1444","1410","1444",
"기계","실기합격[명]","명","339","260","370","254","344",
"기계","실기합격률[%]","%","23.96","17.63","25.62","18.01","23.82",
"기계제작","필기접수[명]","명","614","447","472","465","716",
"기계제작","필기응시[명]","명","543","398","421","412","632",
"기계제작","필기합격[명]","명","278","198","230","218","311",
"기계제작","필기합격률[%]","%","51.2","49.75","54.63","52.91","49.21",
"기계제작","실기접수[명]","명","383","321","306","367","415",
"기계제작","실기응시[명]","명","356","284","283","347","379",
"기계제작","실기합격[명]","명","157","125","114","148","193",
"기계제작","실기합격률[%]","%","44.1","44.01","40.28","42.65","50.92",
"기계가공기능장","필기접수[명]","명","614","447","472","465","716",
"기계가공기능장","필기응시[명]","명","543","398","421","412","632",
"기계가공기능장","필기합격[명]","명","278","198","230","218","311",
"기계가공기능장","필기합격률[%]","%","51.2","49.75","54.63","52.91","49.21",
"기계가공기능장","실기접수[명]","명","383","321","306","367","415",
"기계가공기능장","실기응시[명]","명","356","284","283","347","379",
"기계가공기능장","실기합격[명]","명","157","125","114","148","193",
"기계가공기능장","실기합격률[%]","%","44.1","44.01","40.28","42.65","50.92",
"기계장비설비.설치","필기접수[명]","명","204","160","212","216","246",
"기계장비설비.설치","필기응시[명]","명","179","146","192","191","219",
"기계장비설비.설치","필기합격[명]","명","72","53","89","82","105",
"기계장비설비.설치","필기합격률[%]","%","40.22","36.3","46.35","42.93","47.95",
"기계장비설비.설치","실기접수[명]","명","99","109","129","137","141",
"기계장비설비.설치","실기응시[명]","명","94","100","113","122","121",
"기계장비설비.설치","실기합격[명]","명","12","22","14","17","54",
"기계장비설비.설치","실기합격률[%]","%","12.77","22","12.39","13.93","44.63",
"건설기계정비기능장","필기접수[명]","명","204","160","212","216","246",
"건설기계정비기능장","필기응시[명]","명","179","146","192","191","219",
"건설기계정비기능장","필기합격[명]","명","72","53","89","82","105",
"건설기계정비기능장","필기합격률[%]","%","40.22","36.3","46.35","42.93","47.95",
"건설기계정비기능장","실기접수[명]","명","99","109","129","137","141",
"건설기계정비기능장","실기응시[명]","명","94","100","113","122","121",
"건설기계정비기능장","실기합격[명]","명","12","22","14","17","54",
"건설기계정비기능장","실기합격률[%]","%","12.77","22","12.39","13.93","44.63",
"철도","필기접수[명]","명","260","288","288","254","254",
"철도","필기응시[명]","명","246","251","256","229","223",
"철도","필기합격[명]","명","184","177","166","81","96",
"철도","필기합격률[%]","%","74.8","70.52","64.84","35.37","43.05",
"철도","실기접수[명]","명","294","465","365","234","228",
"철도","실기응시[명]","명","268","374","296","185","195",
"철도","실기합격[명]","명","109","36","88","9","17",
"철도","실기합격률[%]","%","40.67","9.63","29.73","4.86","8.72",
"철도차량정비기능장","필기접수[명]","명","260","288","288","254","254",
"철도차량정비기능장","필기응시[명]","명","246","251","256","229","223",
"철도차량정비기능장","필기합격[명]","명","184","177","166","81","96",
"철도차량정비기능장","필기합격률[%]","%","74.8","70.52","64.84","35.37","43.05",
"철도차량정비기능장","실기접수[명]","명","294","465","365","234","228",
"철도차량정비기능장","실기응시[명]","명","268","374","296","185","195",
"철도차량정비기능장","실기합격[명]","명","109","36","88","9","17",
"철도차량정비기능장","실기합격률[%]","%","40.67","9.63","29.73","4.86","8.72",
"자동차","필기접수[명]","명","1126","908","1099","1002","979",
"자동차","필기응시[명]","명","991","802","990","868","887",
"자동차","필기합격[명]","명","424","341","434","359","345",
"자동차","필기합격률[%]","%","42.79","42.52","43.84","41.36","38.9",
"자동차","실기접수[명]","명","708","761","796","757","751",
"자동차","실기응시[명]","명","671","694","730","716","703",
"자동차","실기합격[명]","명","54","65","144","56","46",
"자동차","실기합격률[%]","%","8.05","9.37","19.73","7.82","6.54",
"자동차정비기능장","필기접수[명]","명","1126","908","1099","1002","979",
"자동차정비기능장","필기응시[명]","명","991","802","990","868","887",
"자동차정비기능장","필기합격[명]","명","424","341","434","359","345",
"자동차정비기능장","필기합격률[%]","%","42.79","42.52","43.84","41.36","38.9",
"자동차정비기능장","실기접수[명]","명","708","761","796","757","751",
"자동차정비기능장","실기응시[명]","명","671","694","730","716","703",
"자동차정비기능장","실기합격[명]","명","54","65","144","56","46",
"자동차정비기능장","실기합격률[%]","%","8.05","9.37","19.73","7.82","6.54",
"금형.공작기계","필기접수[명]","명","70","54","41","97","125",
"금형.공작기계","필기응시[명]","명","67","44","39","85","112",
"금형.공작기계","필기합격[명]","명","25","24","15","36","41",
"금형.공작기계","필기합격률[%]","%","37.31","54.55","38.46","42.35","36.61",
"금형.공작기계","실기접수[명]","명","27","24","23","42","47",
"금형.공작기계","실기응시[명]","명","26","23","22","40","46",
"금형.공작기계","실기합격[명]","명","7","12","10","24","34",
"금형.공작기계","실기합격률[%]","%","26.92","52.17","45.45","60","73.91",
"금형제작기능장","필기접수[명]","명","70","54","41","97","125",
"금형제작기능장","필기응시[명]","명","67","44","39","85","112",
"금형제작기능장","필기합격[명]","명","25","24","15","36","41",
"금형제작기능장","필기합격률[%]","%","37.31","54.55","38.46","42.35","36.61",
"금형제작기능장","실기접수[명]","명","27","24","23","42","47",
"금형제작기능장","실기응시[명]","명","26","23","22","40","46",
"금형제작기능장","실기합격[명]","명","7","12","10","24","34",
"금형제작기능장","실기합격률[%]","%","26.92","52.17","45.45","60","73.91",
"재료","필기접수[명]","명","3855","3200","4956","4580","5177",
"재료","필기응시[명]","명","3383","2818","4507","4035","4568",
"재료","필기합격[명]","명","2021","1837","3142","2736","3034",
"재료","필기합격률[%]","%","59.74","65.19","69.71","67.81","66.42",
"재료","실기접수[명]","명","3576","3465","4686","4557","5078",
"재료","실기응시[명]","명","3279","3010","4144","4000","4483",
"재료","실기합격[명]","명","953","1023","1690","1426","1829",
"재료","실기합격률[%]","%","29.06","33.99","40.78","35.65","40.8",
"금속.재료","필기접수[명]","명","1419","1505","2897","2665","3097",
"금속.재료","필기응시[명]","명","1258","1346","2638","2350","2753",
"금속.재료","필기합격[명]","명","889","1010","2045","1820","2050",
"금속.재료","필기합격률[%]","%","70.67","75.04","77.52","77.45","74.46",
"금속.재료","실기접수[명]","명","1528","1771","2964","2893","3282",
"금속.재료","실기응시[명]","명","1323","1423","2539","2453","2821",
"금속.재료","실기합격[명]","명","377","537","1194","1089","1435",
"금속.재료","실기합격률[%]","%","28.5","37.74","47.03","44.39","50.87",
"금속재료기능장","필기접수[명]","명","460","376","468","448","777",
"금속재료기능장","필기응시[명]","명","383","317","396","372","685",
"금속재료기능장","필기합격[명]","명","255","227","273","248","476",
"금속재료기능장","필기합격률[%]","%","66.58","71.61","68.94","66.67","69.49",
"금속재료기능장","실기접수[명]","명","530","463","486","432","680",
"금속재료기능장","실기응시[명]","명","427","348","378","344","579",
"금속재료기능장","실기합격[명]","명","81","80","149","89","186",
"금속재료기능장","실기합격률[%]","%","18.97","22.99","39.42","25.87","32.12",
"제선기능장","필기접수[명]","명","303","346","785","879","889",
"제선기능장","필기응시[명]","명","275","313","714","777","806",
"제선기능장","필기합격[명]","명","205","233","558","590","560",
"제선기능장","필기합격률[%]","%","74.55","74.44","78.15","75.93","69.48",
"제선기능장","실기접수[명]","명","288","359","768","706","834",
"제선기능장","실기응시[명]","명","266","299","693","620","718",
"제선기능장","실기합격[명]","명","134","172","414","400","427",
"제선기능장","실기합격률[%]","%","50.38","57.53","59.74","64.52","59.47",
"제강기능장","필기접수[명]","명","353","424","860","758","725",
"제강기능장","필기응시[명]","명","329","385","795","680","630",
"제강기능장","필기합격[명]","명","217","276","596","529","471",
"제강기능장","필기합격률[%]","%","65.96","71.69","74.97","77.79","74.76",
"제강기능장","실기접수[명]","명","349","519","784","937","950",
"제강기능장","실기응시[명]","명","311","435","673","805","828",
"제강기능장","실기합격[명]","명","72","153","392","240","435",
"제강기능장","실기합격률[%]","%","23.15","35.17","58.25","29.81","52.54",
"압연기능장","필기접수[명]","명","303","359","784","580","706",
"압연기능장","필기응시[명]","명","271","331","733","521","632",
"압연기능장","필기합격[명]","명","212","274","618","453","543",
"압연기능장","필기합격률[%]","%","78.23","82.78","84.31","86.95","85.92",
"압연기능장","실기접수[명]","명","361","430","926","818","818",
"압연기능장","실기응시[명]","명","319","341","795","684","696",
"압연기능장","실기합격[명]","명","90","132","239","360","387",
"압연기능장","실기합격률[%]","%","28.21","38.71","30.06","52.63","55.6",
"판금.제관.새시","필기접수[명]","명","19","16","29","37","35",
"판금.제관.새시","필기응시[명]","명","16","13","29","36","33",
"판금.제관.새시","필기합격[명]","명","8","9","13","18","16",
"판금.제관.새시","필기합격률[%]","%","50","69.23","44.83","50","48.48",
"판금.제관.새시","실기접수[명]","명","11","8","11","21","19",
"판금.제관.새시","실기응시[명]","명","10","8","11","21","19",
"판금.제관.새시","실기합격[명]","명","8","6","5","17","10",
"판금.제관.새시","실기합격률[%]","%","80","75","45.45","80.95","52.63",
"판금제관기능장","필기접수[명]","명","19","16","29","37","35",
"판금제관기능장","필기응시[명]","명","16","13","29","36","33",
"판금제관기능장","필기합격[명]","명","8","9","13","18","16",
"판금제관기능장","필기합격률[%]","%","50","69.23","44.83","50","48.48",
"판금제관기능장","실기접수[명]","명","11","8","11","21","19",
"판금제관기능장","실기응시[명]","명","10","8","11","21","19",
"판금제관기능장","실기합격[명]","명","8","6","5","17","10",
"판금제관기능장","실기합격률[%]","%","80","75","45.45","80.95","52.63",
"단조.주조","필기접수[명]","명","139","215","461","380","350",
"단조.주조","필기응시[명]","명","122","203","437","351","315",
"단조.주조","필기합격[명]","명","102","178","390","282","274",
"단조.주조","필기합격률[%]","%","83.61","87.68","89.24","80.34","86.98",
"단조.주조","실기접수[명]","명","117","182","412","425","493",
"단조.주조","실기응시[명]","명","107","159","365","372","432",
"단조.주조","실기합격[명]","명","64","104","160","49","104",
"단조.주조","실기합격률[%]","%","59.81","65.41","43.84","13.17","24.07",
"주조기능장","필기접수[명]","명","139","215","461","380","350",
"주조기능장","필기응시[명]","명","122","203","437","351","315",
"주조기능장","필기합격[명]","명","102","178","390","282","274",
"주조기능장","필기합격률[%]","%","83.61","87.68","89.24","80.34","86.98",
"주조기능장","실기접수[명]","명","117","182","412","425","493",
"주조기능장","실기응시[명]","명","107","159","365","372","432",
"주조기능장","실기합격[명]","명","64","104","160","49","104",
"주조기능장","실기합격률[%]","%","59.81","65.41","43.84","13.17","24.07",
"용접","필기접수[명]","명","2214","1412","1515","1440","1585",
"용접","필기응시[명]","명","1928","1208","1356","1249","1366",
"용접","필기합격[명]","명","985","611","667","583","632",
"용접","필기합격률[%]","%","51.09","50.58","49.19","46.68","46.27",
"용접","실기접수[명]","명","1867","1463","1247","1165","1213",
"용접","실기응시[명]","명","1788","1381","1178","1101","1142",
"용접","실기합격[명]","명","476","372","325","251","247",
"용접","실기합격률[%]","%","26.62","26.94","27.59","22.8","21.63",
"용접기능장","필기접수[명]","명","2214","1412","1515","1440","1585",
"용접기능장","필기응시[명]","명","1928","1208","1356","1249","1366",
"용접기능장","필기합격[명]","명","985","611","667","583","632",
"용접기능장","필기합격률[%]","%","51.09","50.58","49.19","46.68","46.27",
"용접기능장","실기접수[명]","명","1867","1463","1247","1165","1213",
"용접기능장","실기응시[명]","명","1788","1381","1178","1101","1142",
"용접기능장","실기합격[명]","명","476","372","325","251","247",
"용접기능장","실기합격률[%]","%","26.62","26.94","27.59","22.8","21.63",
"도장.도금","필기접수[명]","명","64","52","54","58","110",
"도장.도금","필기응시[명]","명","59","48","47","49","101",
"도장.도금","필기합격[명]","명","37","29","27","33","62",
"도장.도금","필기합격률[%]","%","62.71","60.42","57.45","67.35","61.39",
"도장.도금","실기접수[명]","명","53","41","52","53","71",
"도장.도금","실기응시[명]","명","51","39","51","53","69",
"도장.도금","실기합격[명]","명","28","4","6","20","33",
"도장.도금","실기합격률[%]","%","54.9","10.26","11.76","37.74","47.83",
"표면처리기능장","필기접수[명]","명","64","52","54","58","110",
"표면처리기능장","필기응시[명]","명","59","48","47","49","101",
"표면처리기능장","필기합격[명]","명","37","29","27","33","62",
"표면처리기능장","필기합격률[%]","%","62.71","60.42","57.45","67.35","61.39",
"표면처리기능장","실기접수[명]","명","53","41","52","53","71",
"표면처리기능장","실기응시[명]","명","51","39","51","53","69",
"표면처리기능장","실기합격[명]","명","28","4","6","20","33",
"표면처리기능장","실기합격률[%]","%","54.9","10.26","11.76","37.74","47.83",
"화학","필기접수[명]","명","6217","5888","6916","6385","8993",
"화학","필기응시[명]","명","5258","4839","5799","5275","7531",
"화학","필기합격[명]","명","3211","3086","3510","3244","4516",
"화학","필기합격률[%]","%","61.07","63.77","60.53","61.5","59.97",
"화학","실기접수[명]","명","5761","5810","5874","5629","7467",
"화학","실기응시[명]","명","5321","4873","5161","4972","6725",
"화학","실기합격[명]","명","1445","2580","1966","1739","3305",
"화학","실기합격률[%]","%","27.16","52.94","38.09","34.98","49.14",
"위험물","필기접수[명]","명","6217","5888","6916","6385","8993",
"위험물","필기응시[명]","명","5258","4839","5799","5275","7531",
"위험물","필기합격[명]","명","3211","3086","3510","3244","4516",
"위험물","필기합격률[%]","%","61.07","63.77","60.53","61.5","59.97",
"위험물","실기접수[명]","명","5761","5810","5874","5629","7467",
"위험물","실기응시[명]","명","5321","4873","5161","4972","6725",
"위험물","실기합격[명]","명","1445","2580","1966","1739","3305",
"위험물","실기합격률[%]","%","27.16","52.94","38.09","34.98","49.14",
"위험물기능장","필기접수[명]","명","6217","5888","6916","6385","8993",
"위험물기능장","필기응시[명]","명","5258","4839","5799","5275","7531",
"위험물기능장","필기합격[명]","명","3211","3086","3510","3244","4516",
"위험물기능장","필기합격률[%]","%","61.07","63.77","60.53","61.5","59.97",
"위험물기능장","실기접수[명]","명","5761","5810","5874","5629","7467",
"위험물기능장","실기응시[명]","명","5321","4873","5161","4972","6725",
"위험물기능장","실기합격[명]","명","1445","2580","1966","1739","3305",
"위험물기능장","실기합격률[%]","%","27.16","52.94","38.09","34.98","49.14",
"섬유.의복","필기접수[명]","명","","","","","89",
"섬유.의복","필기응시[명]","명","","","","","83",
"섬유.의복","필기합격[명]","명","","","","","71",
"섬유.의복","필기합격률[%]","%","","","","","85.54",
"섬유.의복","실기접수[명]","명","","","","","68",
"섬유.의복","실기응시[명]","명","","","","","68",
